t (s), T (K), flux (H/m2/s)
2.050000000000000000e+03,3.000000000000009095e+02,2.722559717345222400e+16
2.050500000000000000e+03,3.040000000000013074e+02,4.184067185574215200e+16
2.051000000000000000e+03,3.080000000000006821e+02,6.334346859398656000e+16
2.051500000000000000e+03,3.120000000000009095e+02,9.408088067229563200e+16
2.052000000000000000e+03,3.160000000000001137e+02,1.367411869094521920e+17
2.052500000000000000e+03,3.199999999999998863e+02,1.939290243151359360e+17
2.053000000000000000e+03,3.239999999999998295e+02,2.676232063070613760e+17
2.053500000000000000e+03,3.279999999999992042e+02,3.586611263783972480e+17
2.054000000000000000e+03,3.319999999999984652e+02,4.665605808720596480e+17
2.054500000000000000e+03,3.359999999999989200e+02,5.898874147785843200e+17
2.055000000000000000e+03,3.399999999999994884e+02,7.270610987458291200e+17
2.055500000000000000e+03,3.439999999999986358e+02,8.771820743174096640e+17
2.056000000000000000e+03,3.479999999999986926e+02,1.040409057119792896e+18
2.056500000000000000e+03,3.520000000000016485e+02,1.217706982063093504e+18
2.057000000000000000e+03,3.560000000000018190e+02,1.410242021324364800e+18
2.057500000000000000e+03,3.600000000000011937e+02,1.618895289514017024e+18
2.058000000000000000e+03,3.640000000000011369e+02,1.844117568264744960e+18
2.058500000000000000e+03,3.680000000000010800e+02,2.086003041605462016e+18
2.059000000000000000e+03,3.720000000000009663e+02,2.344386388291762688e+18
2.059500000000000000e+03,3.760000000000007390e+02,2.618887988829376512e+18
2.060000000000000000e+03,3.800000000000003411e+02,2.908919687668597760e+18
2.060500000000000000e+03,3.840000000000007390e+02,3.213672566444901888e+18
2.061000000000000000e+03,3.880000000000002842e+02,3.532096004648838656e+18
2.061500000000000000e+03,3.919999999999996021e+02,3.862872225902131712e+18
2.062000000000000000e+03,3.959999999999987494e+02,4.204390127692104192e+18
2.062500000000000000e+03,3.999999999999979536e+02,4.554722017621170688e+18
2.063000000000000000e+03,4.039999999999981810e+02,4.911606274746062848e+18
2.063500000000000000e+03,4.079999999999986358e+02,5.272438324739442688e+18
2.064000000000000000e+03,4.119999999999972147e+02,5.634271868334973952e+18
2.064500000000000000e+03,4.159999999999979536e+02,5.993832026283290624e+18
2.065000000000000000e+03,4.200000000000009663e+02,6.347541877562504192e+18
2.065500000000000000e+03,4.240000000000009663e+02,6.691563675973994496e+18
2.066000000000000000e+03,4.280000000000008527e+02,7.021855747367116800e+18
2.066500000000000000e+03,4.320000000000003979e+02,7.334245626171289600e+18
2.067000000000000000e+03,4.360000000000002274e+02,7.624519339709891584e+18
2.067500000000000000e+03,4.399999999999996589e+02,7.888525877300556800e+18
