t (s), T (K), flux (H/m2/s)
2.050000000000000000e+03,3.000000000000009095e+02,2.813618332315181200e+16
2.051000000000000000e+03,3.040000000000013074e+02,4.277899100571998400e+16
2.052000000000000000e+03,3.080000000000006821e+02,6.368020937142340000e+16
2.053000000000000000e+03,3.120000000000009095e+02,9.240148721654564800e+16
2.054000000000000000e+03,3.160000000000001137e+02,1.302649076544778080e+17
2.055000000000000000e+03,3.199999999999998863e+02,1.779671182686653120e+17
2.056000000000000000e+03,3.239999999999998295e+02,2.353906476248272000e+17
2.057000000000000000e+03,3.279999999999992042e+02,3.017545461726439680e+17
2.058000000000000000e+03,3.319999999999984652e+02,3.760825465029675520e+17
2.059000000000000000e+03,3.359999999999989200e+02,4.577419512849687040e+17
2.060000000000000000e+03,3.399999999999994884e+02,5.467328731256735360e+17
2.061000000000000000e+03,3.439999999999986358e+02,6.435731812419086080e+17
2.062000000000000000e+03,3.479999999999986926e+02,7.489329636649917440e+17
2.063000000000000000e+03,3.520000000000016485e+02,8.633309821712144640e+17
2.064000000000000000e+03,3.560000000000018190e+02,9.870492135427065600e+17
2.065000000000000000e+03,3.600000000000011937e+02,1.120182509608294016e+18
2.066000000000000000e+03,3.640000000000011369e+02,1.262691941378482432e+18
2.067000000000000000e+03,3.680000000000010800e+02,1.414418435560443136e+18
2.068000000000000000e+03,3.720000000000009663e+02,1.575071861514702336e+18
2.069000000000000000e+03,3.760000000000007390e+02,1.744212403752235520e+18
2.070000000000000000e+03,3.800000000000003411e+02,1.921230424785242112e+18
2.071000000000000000e+03,3.840000000000007390e+02,2.105326891413348352e+18
2.072000000000000000e+03,3.880000000000002842e+02,2.295495955028954368e+18
2.073000000000000000e+03,3.919999999999996021e+02,2.490511209660323328e+18
2.074000000000000000e+03,3.959999999999987494e+02,2.688916993468865024e+18
2.075000000000000000e+03,3.999999999999979536e+02,2.889025982608637440e+18
2.076000000000000000e+03,4.039999999999981810e+02,3.088924284893422592e+18
2.077000000000000000e+03,4.079999999999986358e+02,3.286485228640533504e+18
2.078000000000000000e+03,4.119999999999972147e+02,3.479392997605277184e+18
2.079000000000000000e+03,4.159999999999979536e+02,3.665177127633189376e+18
2.080000000000000000e+03,4.200000000000009663e+02,3.841258603287684608e+18
2.081000000000000000e+03,4.240000000000009663e+02,4.005007833102850560e+18
2.082000000000000000e+03,4.280000000000008527e+02,4.153814117931937792e+18
2.083000000000000000e+03,4.320000000000003979e+02,4.285165363236947456e+18
2.084000000000000000e+03,4.360000000000002274e+02,4.396735766418494464e+18
2.085000000000000000e+03,4.399999999999996589e+02,4.486478123716618752e+18
2.086000000000000000e+03,4.439999999999992042e+02,4.552716380539216896e+18
2.087000000000000000e+03,4.480000000000007958e+02,4.594233243654042112e+18
2.088000000000000000e+03,4.520000000000011369e+02,4.610347185792919552e+18
2.089000000000000000e+03,4.560000000000001137e+02,4.600972999852957184e+18
2.090000000000000000e+03,4.600000000000007390e+02,4.566660165383244800e+18
2.091000000000000000e+03,4.639999999999993747e+02,4.508603837133171200e+18
2.092000000000000000e+03,4.680000000000005116e+02,4.428624700870838272e+18
2.093000000000000000e+03,4.720000000000000568e+02,4.329116581797332480e+18
2.094000000000000000e+03,4.759999999999991473e+02,4.212964168439798784e+18
2.095000000000000000e+03,4.800000000000030695e+02,4.083437019600072704e+18
2.096000000000000000e+03,4.840000000000023306e+02,3.944071944103817728e+18
2.097000000000000000e+03,4.880000000000024443e+02,3.798570284287824384e+18
2.098000000000000000e+03,4.920000000000012506e+02,3.650765553277744640e+18
2.099000000000000000e+03,4.960000000000023874e+02,3.504745638739032064e+18
2.100000000000000000e+03,5.000000000000009095e+02,3.365186321672887808e+18
2.101000000000000000e+03,5.040000000000015348e+02,3.237801355414375936e+18
2.102000000000000000e+03,5.079999999999993179e+02,3.129564610091717120e+18
2.103000000000000000e+03,5.120000000000000000e+02,3.048208445875631616e+18
2.104000000000000000e+03,5.160000000000007958e+02,3.000699945808810496e+18
2.105000000000000000e+03,5.199999999999984084e+02,2.990967833882353664e+18
2.106000000000000000e+03,5.239999999999992042e+02,3.017757824579343360e+18
2.107000000000000000e+03,5.279999999999978400e+02,3.073658664264135168e+18
2.108000000000000000e+03,5.319999999999985221e+02,3.145878647845474816e+18
2.109000000000000000e+03,5.359999999999971578e+02,3.218547723253237248e+18
2.110000000000000000e+03,5.399999999999971578e+02,3.275686819552248832e+18
2.111000000000000000e+03,5.439999999999962483e+02,3.303854512511536640e+18
2.112000000000000000e+03,5.479999999999997726e+02,3.293808254335650304e+18
2.113000000000000000e+03,5.519999999999987494e+02,3.241017340021744128e+18
2.114000000000000000e+03,5.559999999999984084e+02,3.145259542532882432e+18
2.115000000000000000e+03,5.599999999999995453e+02,3.009699690418853888e+18
2.116000000000000000e+03,5.639999999999980673e+02,2.839814290889589760e+18
2.117000000000000000e+03,5.679999999999986358e+02,2.642392672903805440e+18
2.118000000000000000e+03,5.719999999999970441e+02,2.424711101164284416e+18
2.119000000000000000e+03,5.759999999999974989e+02,2.193897383647846656e+18
2.120000000000000000e+03,5.800000000000025011e+02,1.956484021642895872e+18
2.121000000000000000e+03,5.840000000000023874e+02,1.718157878611856384e+18
2.122000000000000000e+03,5.880000000000022737e+02,1.483716484224448512e+18
2.123000000000000000e+03,5.920000000000025011e+02,1.257214390556714240e+18
2.124000000000000000e+03,5.960000000000009095e+02,1.042231863045731840e+18
2.125000000000000000e+03,6.000000000000018190e+02,8.421467741888980480e+17
2.126000000000000000e+03,6.040000000000022737e+02,6.602689527637646080e+17
2.127000000000000000e+03,6.080000000000026148e+02,4.997271189764865920e+17
2.128000000000000000e+03,6.120000000000032969e+02,3.630875508200953600e+17
2.129000000000000000e+03,6.160000000000013642e+02,2.518105642425621120e+17
2.130000000000000000e+03,6.200000000000017053e+02,1.657634588153044800e+17
2.131000000000000000e+03,6.240000000000018190e+02,1.030349559366276800e+17
2.132000000000000000e+03,6.280000000000003411e+02,6.019135187793168800e+16
2.133000000000000000e+03,6.320000000000002274e+02,3.291557774195371600e+16
2.134000000000000000e+03,6.360000000000007958e+02,1.679400322452253400e+16
2.135000000000000000e+03,6.399999999999997726e+02,7.973517387340894000e+15
2.136000000000000000e+03,6.439999999999994316e+02,3.515697839952421500e+15
2.137000000000000000e+03,6.479999999999996589e+02,1.437480688789212000e+15
2.138000000000000000e+03,6.519999999999977263e+02,5.445080701341051250e+14
2.139000000000000000e+03,6.559999999999984084e+02,1.909882829539685312e+14
2.140000000000000000e+03,6.599999999999980673e+02,6.202848400139284375e+13
2.141000000000000000e+03,6.639999999999969305e+02,1.866041016334353125e+13
2.142000000000000000e+03,6.679999999999979536e+02,5.203873034109544922e+12
2.143000000000000000e+03,6.719999999999978400e+02,1.346741734763775879e+12
2.144000000000000000e+03,6.759999999999986358e+02,3.238855698139390869e+11
2.145000000000000000e+03,6.799999999999989768e+02,7.250004202127865601e+10
2.146000000000000000e+03,6.839999999999985221e+02,1.513120704041932678e+10
2.147000000000000000e+03,6.879999999999972715e+02,2.949673595274325848e+09
2.148000000000000000e+03,6.919999999999965894e+02,5.380383653645222187e+08
2.149000000000000000e+03,6.959999999999973852e+02,9.198950549458368123e+07
2.150000000000000000e+03,6.999999999999960210e+02,1.476562367102433369e+07
