x,t=steady
0.000000000000000000e+00,9.999999999999871250e+14
6.999999999999999816e-09,5.705119177021240800e+16
1.399999999999999963e-08,1.129901689422866880e+17
2.099999999999999945e-08,1.688169315162228480e+17
2.799999999999999926e-08,2.245314794920208960e+17
3.499999999999999577e-08,2.801338128696808960e+17
4.199999999999999889e-08,3.356239316492026880e+17
4.900000000000000202e-08,3.910018358305864320e+17
5.599999999999999852e-08,4.462675254138317440e+17
6.299999999999999503e-08,5.014210003989391360e+17
6.999999999999999154e-08,5.564622607859082880e+17
7.700000000000000128e-08,6.113913065747395840e+17
8.399999999999999779e-08,6.662081377654324480e+17
9.099999999999999429e-08,7.209127543579873280e+17
9.800000000000000404e-08,7.755051563524042240e+17
1.050000000000000005e-07,8.299853437486822400e+17
1.119999999999999970e-07,8.843533165468229120e+17
1.189999999999999936e-07,9.386090747468249600e+17
1.259999999999999901e-07,9.927526183486890240e+17
1.329999999999999866e-07,1.046783947352415104e+18
1.399999999999999831e-07,1.100703061758002560e+18
1.470000000000000061e-07,1.154509961565452032e+18
1.540000000000000026e-07,1.208204646774763520e+18
1.609999999999999991e-07,1.261787117385936896e+18
1.679999999999999956e-07,1.315257373398970368e+18
1.749999999999999921e-07,1.368615414813868032e+18
1.819999999999999886e-07,1.421861241630625792e+18
1.889999999999999851e-07,1.474994853849245952e+18
1.960000000000000081e-07,1.528016251469728000e+18
2.030000000000000046e-07,1.580925434492072192e+18
2.100000000000000011e-07,1.633722402916276736e+18
2.169999999999999976e-07,1.686407156742345216e+18
2.239999999999999941e-07,1.738979695970274048e+18
2.309999999999999906e-07,1.791440020600066048e+18
2.379999999999999871e-07,1.843788130631718656e+18
2.449999999999999836e-07,1.896024026065233152e+18
2.519999999999999801e-07,1.948147706900609792e+18
2.589999999999999766e-07,2.000159173137847552e+18
2.659999999999999731e-07,2.052058424776948736e+18
2.729999999999999696e-07,2.103845461817909760e+18
2.799999999999999662e-07,2.155520284260733952e+18
2.870000000000000156e-07,2.207082892105418752e+18
2.940000000000000121e-07,2.258533285351966208e+18
3.010000000000000086e-07,2.309871464000374784e+18
3.080000000000000051e-07,2.361097428050647040e+18
3.150000000000000016e-07,2.412211177502779904e+18
3.219999999999999981e-07,2.463212712356775424e+18
3.289999999999999946e-07,2.514102032612633088e+18
3.359999999999999911e-07,2.564879138270353408e+18
3.429999999999999877e-07,2.615544029329934848e+18
3.499999999999999842e-07,2.666096705791375872e+18
3.569999999999999807e-07,2.716537167654684160e+18
3.639999999999999772e-07,2.766865414919848448e+18
3.709999999999999737e-07,2.817081447586878464e+18
3.779999999999999702e-07,2.867185265655769088e+18
3.849999999999999667e-07,2.917176869126519808e+18
3.920000000000000161e-07,2.967056257999132160e+18
3.990000000000000126e-07,3.016823432273606144e+18
4.060000000000000092e-07,3.066478391949943296e+18
4.130000000000000057e-07,3.116021137028140032e+18
4.200000000000000022e-07,3.165451667508198400e+18
4.269999999999999987e-07,3.214769983390121472e+18
4.339999999999999952e-07,3.263976084673903104e+18
4.409999999999999917e-07,3.313069971359547392e+18
4.479999999999999882e-07,3.362051643447054336e+18
4.549999999999999847e-07,3.410921100936422912e+18
4.619999999999999812e-07,3.459678343827651584e+18
4.689999999999999777e-07,3.508323372120743936e+18
4.759999999999999742e-07,3.556856185815695360e+18
4.829999999999999707e-07,3.605276784912510976e+18
4.899999999999999672e-07,3.653585169411188736e+18
4.969999999999999637e-07,3.701781339311727104e+18
5.039999999999999603e-07,3.749865294614128128e+18
5.109999999999999568e-07,3.797837035318389760e+18
5.179999999999999533e-07,3.845696561424514048e+18
5.249999999999999498e-07,3.893443872932500480e+18
5.319999999999999463e-07,3.941078969842348032e+18
5.389999999999999428e-07,3.988601852154059264e+18
5.459999999999999393e-07,4.036012519867631616e+18
5.529999999999999358e-07,4.083310972983065088e+18
5.599999999999999323e-07,4.130497211500360192e+18
5.670000000000000347e-07,4.177571235419518464e+18
5.740000000000000312e-07,4.224533044740535808e+18
5.810000000000000277e-07,4.271382639463415808e+18
5.880000000000000242e-07,4.318120019588160000e+18
5.950000000000000207e-07,4.364745185114765312e+18
6.020000000000000172e-07,4.411258136043230720e+18
6.090000000000000137e-07,4.457658872373560320e+18
6.160000000000000102e-07,4.503947394105747968e+18
6.230000000000000067e-07,4.550123701239800832e+18
6.300000000000000033e-07,4.596187793775715328e+18
6.369999999999999998e-07,4.642139671713491968e+18
6.439999999999999963e-07,4.687979335053128704e+18
6.509999999999999928e-07,4.733706783794630656e+18
6.579999999999999893e-07,4.779322017937992704e+18
6.649999999999999858e-07,4.824825037483214848e+18
