x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
0.000000000000000000e+00,1.838152232121175000e+14,1.838152232121175312e+14,1.838152232121175312e+14
2.040816326530612004e-08,1.801426784891369688e+14,1.809394334257680312e+14,1.822464499449328125e+14
4.081632653061224008e-08,1.764701337983499688e+14,1.780636436413083438e+14,1.806776766777480625e+14
6.122448979591836674e-08,1.727975891719495938e+14,1.751878538606284375e+14,1.791089034105631562e+14
8.163265306122448016e-08,1.691250446421295938e+14,1.723120640856184062e+14,1.775401301433783438e+14
1.020408163265305936e-07,1.654525002410835938e+14,1.694362743181683438e+14,1.759713568761939688e+14
1.224489795918367335e-07,1.617799560010049062e+14,1.665604845601681875e+14,1.744025836090098438e+14
1.428571428571428469e-07,1.581074119540860938e+14,1.636846948135074688e+14,1.728338103418255000e+14
1.632653061224489603e-07,1.544348681325208438e+14,1.608089050800765000e+14,1.712650370746416562e+14
1.836734693877550737e-07,1.507623245685023125e+14,1.579331153617652188e+14,1.696962638074580938e+14
2.040816326530611872e-07,1.470897812942230938e+14,1.550573256604635312e+14,1.681274905402746875e+14
2.244897959183673271e-07,1.434172383418764688e+14,1.521815359780616250e+14,1.665587172730918438e+14
2.448979591836734669e-07,1.397446957436544688e+14,1.493057463164489062e+14,1.649899440059091875e+14
2.653061224489795539e-07,1.360721535317497344e+14,1.464299566775157188e+14,1.634211707387270000e+14
2.857142857142856938e-07,1.323996117383548281e+14,1.435541670631518438e+14,1.618523974715452188e+14
3.061224489795917807e-07,1.287270703956615938e+14,1.406783774752473906e+14,1.602836242043638125e+14
3.265306122448979206e-07,1.250545295358620625e+14,1.378025879156923281e+14,1.587148509371830312e+14
3.469387755102040605e-07,1.213819891911477188e+14,1.349267983863763438e+14,1.571460776700025625e+14
3.673469387755101475e-07,1.177094493937099688e+14,1.320510088891896406e+14,1.555773044028230000e+14
3.877551020408162874e-07,1.140369101757401719e+14,1.291752194260221094e+14,1.540085311356437500e+14
4.081632653061223743e-07,1.103643715694290156e+14,1.262994299987638125e+14,1.524397578684652812e+14
4.285714285714285142e-07,1.066918336069671719e+14,1.234236406093044844e+14,1.508709846012873125e+14
4.489795918367346541e-07,1.030192963205447969e+14,1.205478512595342656e+14,1.493022113341101250e+14
4.693877551020407411e-07,9.934675974235201562e+13,1.176720619513429219e+14,1.477334380669335625e+14
4.897959183673469339e-07,9.567422390457831250e+13,1.147962726866205469e+14,1.461646647997579688e+14
5.102040816326530209e-07,9.200168883941293750e+13,1.119204834672570469e+14,1.445958915325831250e+14
5.306122448979591078e-07,8.832915457904498438e+13,1.090446942951424531e+14,1.430271182654089375e+14
5.510204081632651948e-07,8.465662115566278125e+13,1.061689051721665469e+14,1.414583449982356875e+14
5.714285714285713876e-07,8.098408860145453125e+13,1.032931161002194531e+14,1.398895717310633750e+14
5.918367346938774745e-07,7.731155694860795312e+13,1.004173270811910781e+14,1.383207984638918906e+14
6.122448979591835615e-07,7.363902622931035938e+13,9.754153811697129688e+13,1.367520251967214531e+14
6.326530612244897543e-07,6.996649647574853906e+13,9.466574920945014062e+13,1.351832519295520000e+14
6.530612244897958413e-07,6.629396772010889844e+13,9.178996036051753125e+13,1.336144786623835000e+14
6.734693877551019282e-07,6.262143999457737500e+13,8.891417157206346875e+13,1.320457053952160000e+14
6.938775510204081211e-07,5.894891333133941406e+13,8.603838284597782812e+13,1.304769321280497812e+14
7.142857142857142080e-07,5.527638776257990625e+13,8.316259418415059375e+13,1.289081588608845469e+14
7.346938775510202950e-07,5.160386332048328125e+13,8.028680558847167188e+13,1.273393855937204688e+14
7.551020408163264878e-07,4.793134003723337500e+13,7.741101706083121875e+13,1.257706123265576562e+14
7.755102040816325748e-07,4.425881794501357031e+13,7.453522860311885938e+13,1.242018390593959219e+14
7.959183673469386617e-07,4.058629707600660156e+13,7.165944021722482812e+13,1.226330657922355781e+14
8.163265306122447487e-07,3.691377746239465625e+13,6.878365190503885156e+13,1.210642925250764844e+14
8.367346938775509415e-07,3.324125913635933594e+13,6.590786366845104688e+13,1.194955192579187344e+14
8.571428571428570284e-07,2.956874213008160547e+13,6.303207550935132031e+13,1.179267459907622500e+14
8.775510204081631154e-07,2.589622647574181641e+13,6.015628742962964062e+13,1.163579727236072031e+14
8.979591836734693082e-07,2.222371220551969141e+13,5.728049943117587500e+13,1.147891994564535156e+14
9.183673469387753952e-07,1.855119935159429688e+13,5.440471151588002344e+13,1.132204261893013281e+14
9.387755102040814821e-07,1.487868794614402930e+13,5.152892368563207031e+13,1.116516529221506562e+14
9.591836734693875691e-07,1.120617802134658789e+13,4.865313594232196875e+13,1.100828796550015000e+14
9.795918367346938678e-07,7.533669609378925781e+12,4.577734828783958594e+13,1.085141063878538281e+14
9.999999999999999547e-07,3.861162742417416016e+12,4.290156072407487500e+13,1.069453331207077188e+14
9.999999999999999547e-07,7.220374328320573750e+14,8.022591855402005000e+15,1.999877729357236800e+16
6.222448979591836140e-05,4.852409869729370000e+14,7.814074001340997000e+15,1.988398903895192000e+16
1.234489795918367256e-04,3.095876420898425625e+14,7.609386714899052000e+15,1.976920085111300800e+16
1.846734693877550898e-04,1.872887669711213750e+14,7.408557600298692000e+15,1.965441273055416000e+16
2.458979591836734811e-04,1.074366885329759062e+14,7.211612417178387000e+15,1.953962467775340800e+16
3.071224489795918453e-04,5.850450294248899219e+13,7.018575075320519000e+15,1.942483669316801600e+16
3.683469387755102095e-04,3.030273142522818359e+13,6.829467633087544000e+15,1.931004877723436800e+16
4.295714285714285737e-04,1.496792814248217578e+13,6.644310299539545000e+15,1.919526093036792800e+16
4.907959183673469379e-04,7.071837702931884766e+12,6.463121440189847000e+15,1.908047315296300400e+16
5.520204081632653021e-04,3.206144624201200684e+12,6.285917586340124000e+15,1.896568544539264400e+16
6.132448979591836663e-04,1.399339648536261475e+12,6.112713447920704000e+15,1.885089780800860800e+16
6.744693877551020305e-04,5.898374115237536621e+11,5.943521929746663000e+15,1.873611024114114400e+16
7.356938775510203947e-04,2.408402828935524902e+11,5.778354151085879000e+15,1.862132274509894000e+16
7.969183673469387589e-04,9.553248778678500366e+10,5.617219468420810000e+15,1.850653532016908000e+16
8.581428571428571231e-04,3.691006264339557648e+10,5.460125501272403000e+15,1.839174796661685600e+16
9.193673469387754872e-04,1.392395876923882675e+10,5.307078160941598000e+15,1.827696068468575600e+16
9.805918367346937430e-04,5.140018811863929749e+09,5.158081682011643000e+15,1.816217347459736800e+16
1.041816326530612107e-03,1.860466740472021341e+09,5.013138656443000000e+15,1.804738633655129600e+16
1.103040816326530471e-03,6.614890409552725554e+08,4.872250070082069000e+15,1.793259927072519000e+16
1.164265306122448836e-03,2.314082619705834389e+08,4.735415341395137000e+15,1.781781227727450800e+16
1.225489795918367200e-03,7.976874125529964268e+07,4.602632362230156000e+15,1.770302535633265800e+16
1.286714285714285564e-03,2.713084522956437245e+07,4.473897540401023000e+15,1.758823850801086400e+16
1.347938775510203928e-03,9.115755821341611445e+06,4.349205843882110000e+15,1.747345173239815000e+16
1.409163265306122292e-03,3.028947043416677043e+06,4.228550846395080500e+15,1.735866502956128400e+16
1.470387755102040657e-03,9.962887917947010137e+05,4.111924774164849000e+15,1.724387839954480600e+16
1.531612244897959021e-03,3.246812053418730502e+05,3.999318553618142500e+15,1.712909184237098600e+16
1.592836734693877385e-03,1.049190407530156372e+05,3.890721859795138500e+15,1.701430535803984200e+16
1.654061224489795749e-03,3.364268405695893307e+04,3.786123165243197000e+15,1.689951894652907400e+16
1.715285714285714113e-03,1.071150419785730082e+04,3.685509789161124500e+15,1.678473260779417400e+16
1.776510204081632478e-03,3.388376120982392877e+03,3.588867946563049500e+15,1.666994634176833000e+16
1.837734693877550842e-03,1.065486933377568903e+03,3.496182797232626000e+15,1.655516014836255200e+16
1.898959183673469206e-03,3.332212501354213146e+02,3.407438494241034500e+15,1.644037402746560600e+16
1.960183673469387787e-03,1.036904531871281279e+02,3.322618231806128500e+15,1.632558797894408600e+16
2.021408163265306368e-03,3.211756188368578080e+01,3.241704292274885500e+15,1.621080200264251400e+16
2.082632653061224515e-03,9.906145372084441902e+00,3.164678092017217000e+15,1.609601609838327800e+16
2.143857142857142663e-03,3.043488881030473880e+00,3.091520226026147500e+15,1.598123026596675200e+16
2.205081632653061244e-03,9.317030332366373901e-01,3.022210511027069500e+15,1.586644450517134800e+16
2.266306122448979825e-03,2.842787913939870403e-01,2.956728026907697000e+15,1.575165881575358400e+16
2.327530612244897972e-03,8.647380582732784593e-02,2.895051156289821500e+15,1.563687319744814600e+16
