x,t=2.00e+07s,t=3.98e+08s,t=7.77e+08s,t=1.16e+09s
0.000000000000000000e+00,1.298675269370542524e+24,5.553850847503424553e+20,5.177395679030679142e+19,7.625268119669932032e+18
2.002002002002002045e-08,1.298724430622609407e+24,6.233784434747627903e+22,1.950564221866612674e+22,7.546268855606280454e+21
4.004004004004004090e-08,1.298769484468415543e+24,1.172158348816298866e+23,3.820729988950420305e+22,1.495944234909515855e+22
6.006006006006006466e-08,1.298810961010353173e+24,1.658253982538856000e+23,5.607726844226545962e+22,2.221823900855246730e+22
8.008008008008008180e-08,1.298849277791857405e+24,2.088464717703106443e+23,7.306641675787573605e+22,2.929806924332792807e+22
1.001001001001000989e-07,1.298884789222597345e+24,2.469600178425394071e+23,8.915159598177702851e+22,3.617863048851045220e+22
1.201201201201201293e-07,1.298917798132470696e+24,2.807965852072996912e+23,1.043299669283601583e+23,4.284368216108033481e+22
1.401401401401401332e-07,1.298948564870737865e+24,3.109173332898006843e+23,1.186140548371856375e+23,4.928075253098055572e+22
1.601601601601601636e-07,1.298977314539058537e+24,3.378111474234735009e+23,1.320276085956397802e+23,5.548080304332887976e+22
1.801801801801801940e-07,1.299004242791004008e+24,3.618991248809362467e+23,1.446022381420715673e+23,6.143787112760971624e+22
2.002002002002001979e-07,1.299029520519529455e+24,3.835419373978243951e+23,1.563747506765698381e+23,6.714870809681969178e+22
2.202202202202202282e-07,1.299053297673961573e+24,4.030478448129359133e+23,1.673850852545188279e+23,7.261242466200909041e+22
2.402402402402402586e-07,1.299075706389800031e+24,4.206803270998394394e+23,1.776747430779167126e+23,7.783015302706309261e+22
2.602602602602602625e-07,1.299096863571777109e+24,4.366649149233552121e+23,1.872856184760060850e+23,8.280473154970350046e+22
2.802802802802802664e-07,1.299116873038659133e+24,4.511951037203785418e+23,1.962591476420138144e+23,8.754041555512613195e+22
3.003003003003003233e-07,1.299135827314359782e+24,4.644373797085048922e+23,2.046357054292175366e+23,9.204261602406039762e+22
3.203203203203203272e-07,1.299153809131721682e+24,4.765354464490918248e+23,2.124541931668693865e+23,9.631766648074258088e+22
3.403403403403403311e-07,1.299170892701462616e+24,4.876137591446175660e+23,2.197517717171259404e+23,1.003726174033307448e+23
3.603603603603603879e-07,1.299187144788097850e+24,4.977804725430065530e+23,2.265637035776539204e+23,1.042150567954602661e+23
3.803803803803803918e-07,1.299202625626293416e+24,5.071298984465810934e+23,2.329232757524190839e+23,1.078529551248121156e+23
4.004004004004003957e-07,1.299217389704686370e+24,5.157445560824354948e+23,2.388617815190222752e+23,1.112945325934197646e+23
4.204204204204204526e-07,1.299231486439045483e+24,5.236968857360042023e+23,2.444085443240500868e+23,1.145481466052236133e+23
4.404404404404404565e-07,1.299244960752616086e+24,5.310506842950169788e+23,2.495909710555730684e+23,1.176221972987624072e+23
4.604604604604604604e-07,1.299257853578312067e+24,5.378623111292974824e+23,2.544346250758228007e+23,1.205250490849601394e+23
4.804804804804805172e-07,1.299270202294742030e+24,5.441817040932034818e+23,2.589633118231713253e+23,1.232649662471977818e+23
5.005005005005004682e-07,1.299282041106097003e+24,5.500532382603130018e+23,2.631991716586561911e+23,1.258500608047693347e+23
5.205205205205205251e-07,1.299293401374145770e+24,5.555164540981861323e+23,2.671627760594888562e+23,1.282882509979203781e+23
5.405405405405405819e-07,1.299304311909258103e+24,5.606066769675402200e+23,2.708732243476161233e+23,1.305872289133114352e+23
5.605605605605605329e-07,1.299314799226261594e+24,5.653555459010227780e+23,2.743482389628045345e+23,1.327544359263571133e+23
5.805805805805805897e-07,1.299324887769994821e+24,5.697914664207714877e+23,2.776042579076431856e+23,1.347970447871205169e+23
6.006006006006006466e-07,1.299334600114675164e+24,5.739399995545539209e+23,2.806565234537937492e+23,1.367219473166830896e+23
6.206206206206205975e-07,1.299343957140579264e+24,5.778241970945585830e+23,2.835191665415832071e+23,1.385357468097373704e+23
6.406406406406406544e-07,1.299352978190972806e+24,5.814648914182175206e+23,2.862052865570782367e+23,1.402447543560487379e+23
6.606606606606607112e-07,1.299361681211871711e+24,5.848809467819217765e+23,2.887270263540320211e+23,1.418549883984480452e+23
6.806806806806806622e-07,1.299370082876738989e+24,5.880894778454846609e+23,2.910956425193591595e+23,1.433721769386059435e+23
7.007007007007007190e-07,1.299378198698023167e+24,5.911060402390571114e+23,2.933215709729471374e+23,1.448017618846957856e+23
7.207207207207207759e-07,1.299386043127117208e+24,5.939447972057052548e+23,2.954144880554922780e+23,1.461489051079928961e+23
7.407407407407407268e-07,1.299393629644121713e+24,5.966186657105106761e+23,2.973833672991300638e+23,1.474184958393807263e+23
7.607607607607607837e-07,1.299400970838616083e+24,5.991394448755840464e+23,2.992365321006224004e+23,1.486151590925116658e+23
7.807807807807808405e-07,1.299408078482459284e+24,6.015179291593457208e+23,3.009817045300751400e+23,1.497432648488871652e+23
8.008008008008007915e-07,1.299414963595544455e+24,6.037640083313545204e+23,3.026260505128457030e+23,1.508069377821705178e+23
8.208208208208208483e-07,1.299421636505270246e+24,6.058867559876703835e+23,3.041762216209306343e+23,1.518100673354016007e+23
8.408408408408409052e-07,1.299428106900454737e+24,6.078945080952654869e+23,3.056383937045277694e+23,1.527563179961166300e+23
8.608608608608608561e-07,1.299434383880239280e+24,6.097949328388027937e+23,3.070183025860411560e+23,1.536491396413273366e+23
8.808808808808809130e-07,1.299440475998569057e+24,6.115950928618806732e+23,3.083212770285252321e+23,1.544917778474201074e+23
