x,t=steady
0.000000000000000000e+00,-4.942218462626138376e+01
1.507537688442211021e-10,5.050649365864301440e+17
3.015075376884422041e-10,1.007346033163780224e+18
4.522613065326632803e-10,1.506541182982522368e+18
6.030150753768844082e-10,2.002327903754259200e+18
7.537688442211055361e-10,2.494363670262219776e+18
9.045226130653265606e-10,2.982286510061801472e+18
1.055276381909547792e-09,3.465715879613974016e+18
1.206030150753768816e-09,3.944253834575345152e+18
1.356783919597989841e-09,4.417486503689045504e+18
1.507537688442211072e-09,4.884985870831059968e+18
1.658291457286432097e-09,5.346311864341880832e+18
1.809045226130653121e-09,5.801014746910086144e+18
1.959798994974874353e-09,6.248637793090972672e+18
2.110552763819095584e-09,6.688720235177653248e+18
2.261306532663316402e-09,7.120800451746808832e+18
2.412060301507537633e-09,7.544419366943057920e+18
2.562814070351758864e-09,7.959124022616578048e+18
2.713567839195979682e-09,8.364471279963941888e+18
2.864321608040200913e-09,8.760031602512285696e+18
3.015075376884422145e-09,9.145392868294286336e+18
3.165829145728642962e-09,9.520164156030588928e+18
3.316582914572864194e-09,9.883979448193189888e+18
3.467336683417085425e-09,1.023650119306426163e+19
3.618090452261306243e-09,1.057742366839860429e+19
3.768844221105527887e-09,1.090647609107616973e+19
3.919597989949748705e-09,1.122342542019036774e+19
4.070351758793969523e-09,1.152807880531687014e+19
4.221105527638191168e-09,1.182028563716662886e+19
4.371859296482411986e-09,1.209993916433150771e+19
4.522613065326632803e-09,1.236697764723386982e+19
4.673366834170854448e-09,1.262138502851545088e+19
4.824120603015075266e-09,1.286319110774797926e+19
4.974874371859296084e-09,1.309247121730113946e+19
5.125628140703517728e-09,1.330934540523664794e+19
5.276381909547738546e-09,1.351397713998185882e+19
5.427135678391959364e-09,1.370657156004888166e+19
5.577889447236181009e-09,1.388737329999248384e+19
5.728643216080401826e-09,1.405666393095122944e+19
5.879396984924622644e-09,1.421475906032125952e+19
6.030150753768844289e-09,1.436200514023341056e+19
6.180904522613065107e-09,1.449877603843862733e+19
6.331658291457285925e-09,1.462546942788385792e+19
6.482412060301507569e-09,1.474250305265236992e+19
6.633165829145728387e-09,1.485031092805549261e+19
