x,t=steady
0.000000000000000000e+00,-9.884436925252276751e+01
1.507537688442211021e-10,5.050649111276846080e+17
3.015075376884422041e-10,1.007345930993135360e+18
4.522613065326632803e-10,1.506540953145482752e+18
6.030150753768844082e-10,2.002327495626761728e+18
7.537688442211055361e-10,2.494363033584472576e+18
9.045226130653265606e-10,2.982285594974130176e+18
1.055276381909547792e-09,3.465714636694591488e+18
1.206030150753768816e-09,3.944252214879968768e+18
1.356783919597989841e-09,4.417484458792204288e+18
1.507537688442211072e-09,4.884983352868915200e+18
1.658291457286432097e-09,5.346308826056417280e+18
1.809045226130653121e-09,5.801011141694357504e+18
1.959798994974874353e-09,6.248633575035239424e+18
2.110552763819095584e-09,6.688715359116065792e+18
2.261306532663316402e-09,7.120794873304322048e+18
2.412060301507537633e-09,7.544413042582290432e+18
2.562814070351758864e-09,7.959116909684207616e+18
2.713567839195979682e-09,8.364463336736301056e+18
2.864321608040200913e-09,8.760022788239766528e+18
3.015075376884422145e-09,9.145383143244155904e+18
3.165829145728642962e-09,9.520153481527859200e+18
3.316582914572864194e-09,9.883967786659125248e+18
3.467336683417085425e-09,1.023648850805216256e+19
3.618090452261306243e-09,1.057740992462655078e+19
3.768844221105527887e-09,1.090646125445635686e+19
3.919597989949748705e-09,1.122340945785472410e+19
4.070351758793969523e-09,1.152806168563874611e+19
4.221105527638191168e-09,1.182026732977824563e+19
4.371859296482411986e-09,1.209991964013709107e+19
4.522613065326632803e-09,1.236695687841818214e+19
4.673366834170854448e-09,1.262136298854776013e+19
4.824120603015075266e-09,1.286316777138137702e+19
4.974874371859296084e-09,1.309244656056718131e+19
5.125628140703517728e-09,1.330931940543540838e+19
5.276381909547738546e-09,1.351394977566751539e+19
5.427135678391959364e-09,1.370654281101094093e+19
5.577889447236181009e-09,1.388734314723291750e+19
5.728643216080401826e-09,1.405663235665769472e+19
5.879396984924622644e-09,1.421472604783669043e+19
6.030150753768844289e-09,1.436197067402239795e+19
6.180904522613065107e-09,1.449874010405070029e+19
6.331658291457285925e-09,1.462543201191427686e+19
6.482412060301507569e-09,1.474246414270059315e+19
6.633165829145728387e-09,1.485027051268188160e+19
6.783919597989949205e-09,1.494929760022076826e+19
6.934673366834170850e-09,1.504000058187515290e+19
7.085427135678391667e-09,1.512283966475151770e+19
7.236180904522612485e-09,1.519827656190295450e+19
7.386934673366834130e-09,1.526677115254344090e+19
7.537688442211055775e-09,1.532877836322240102e+19
7.688442211055276593e-09,1.538474530004273357e+19
7.839195979899497410e-09,1.543510865568845210e+19
7.989949748743718228e-09,1.548029240862479770e+19
8.140703517587939046e-09,1.552070582550706176e+19
8.291457286432159864e-09,1.555674177173347328e+19
8.442211055276382336e-09,1.558877532933410816e+19
8.592964824120603153e-09,1.561716271611453440e+19
8.743718592964823971e-09,1.564224049525953946e+19
8.894472361809044789e-09,1.566432506051646874e+19
9.045226130653265606e-09,1.568371237866350797e+19
9.195979899497486424e-09,1.570067796824710144e+19
9.346733668341708896e-09,1.571547709154641715e+19
9.497487437185929714e-09,1.572834513537026253e+19
9.648241206030150532e-09,1.573949815558146048e+19
9.798994974874371349e-09,1.574913356012254003e+19
9.949748743718592167e-09,1.575743090572687974e+19
1.010050251256281464e-08,1.576455278437250662e+19
1.025125628140703546e-08,1.577064577679691366e+19
1.040201005025125627e-08,1.577584145196764570e+19
1.055276381909547709e-08,1.578025739321784115e+19
1.070351758793969791e-08,1.578399823373652582e+19
1.085427135678391873e-08,1.578715668618367386e+19
1.100502512562814120e-08,1.578981455331561472e+19
1.115577889447236202e-08,1.579204370860457779e+19
