x,t=1.00e+01s,t=2.10e+01s,t=3.31e+01s,t=4.64e+01s,t=6.11e+01s,t=7.72e+01s,t=9.49e+01s,t=1.14e+02s,t=1.36e+02s,t=1.59e+02s,t=1.85e+02s,t=2.14e+02s,t=2.45e+02s,t=2.80e+02s,t=3.18e+02s,t=3.59e+02s,t=4.05e+02s,t=4.56e+02s,t=5.12e+02s,t=5.73e+02s,t=6.40e+02s,t=7.14e+02s,t=7.95e+02s,t=8.85e+02s,t=9.83e+02s,t=1.09e+03s,t=1.21e+03s,t=1.34e+03s,t=1.49e+03s,t=1.64e+03s,t=1.82e+03s,t=2.01e+03s,t=2.22e+03s,t=2.45e+03s,t=2.71e+03s,t=2.99e+03s,t=3.30e+03s,t=3.64e+03s,t=4.01e+03s,t=4.43e+03s,t=4.88e+03s,t=5.38e+03s,t=5.92e+03s,t=6.53e+03s,t=7.19e+03s,t=7.92e+03s,t=8.72e+03s,t=9.60e+03s,t=1.00e+04s
1.000000000000000021e-03,5.861595006569905935e+23,5.861595006569907277e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569905264e+23,5.861595006569905264e+23,5.861595006569903922e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569905264e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569903922e+23,5.861595006569903922e+23,5.861595006569907948e+23,5.861595006569905935e+23,5.861595006569905264e+23,5.861595006569907277e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569905264e+23,5.861595006569905264e+23,5.861595006569905935e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569905935e+23,5.861595006569903922e+23,5.861595006569903922e+23,5.861595006569905264e+23,5.861595006569905264e+23,5.861595006569905935e+23,5.861595006569903250e+23
1.020202020202020179e-03,3.437597316345220825e+23,4.392161470238212521e+23,4.748313179792307388e+23,4.940586948493655597e+23,5.065417671377781669e+23,5.155245635263301042e+23,5.224185344662274646e+23,5.279461420651149085e+23,5.325201744611573068e+23,5.363958974219309128e+23,5.397408605863615052e+23,5.426702786298555107e+23,5.452663956898057919e+23,5.475897509351632530e+23,5.496860666494349874e+23,5.515906373861533161e+23,5.533312259979720849e+23,5.549300323164237238e+23,5.564050664063530990e+23,5.577711283133276026e+23,5.590405210786506662e+23,5.602235788598495957e+23,5.613290643024684788e+23,5.623644717795086696e+23,5.633362617405949094e+23,5.642500438471993197e+23,5.651107213845060219e+23,5.659226057233911681e+23,5.666895067527949865e+23,5.674148028283480965e+23,5.681014917231599818e+23,5.687522224213176206e+23,5.693693067415309013e+23,5.699547102671911434e+23,5.705100243427532871e+23,5.710364249594949272e+23,5.715346294177964134e+23,5.720048661741447749e+23,5.724468753546938983e+23,5.728599554890333893e+23,5.732430655985286161e+23,5.735949818055760984e+23,5.739144963005302744e+23,5.742006365650472728e+23,5.744528766456597735e+23,5.746713114182821169e+23,5.748567692821881191e+23,5.750108475007640608e+23,5.750715540614237420e+23
1.040404040404040338e-03,2.016424552230919560e+23,3.150390546690220061e+23,3.730023399864743840e+23,4.074596480240648507e+23,4.306925812607199908e+23,4.477273981728356754e+23,4.609445994849108555e+23,4.716174118820002052e+23,4.804925960487724688e+23,4.880399466900593972e+23,4.945715760012474293e+23,5.003040372758746088e+23,5.053929832223399047e+23,5.099536171421693599e+23,5.140733345938928482e+23,5.178198487626034614e+23,5.212465894503796923e+23,5.243963945966403532e+23,5.273040978924659288e+23,5.299983825985018024e+23,5.325031355064169991e+23,5.348384529282521293e+23,5.370213997010868691e+23,5.390665897939371976e+23,5.409866359754952351e+23,5.427925018829852707e+23,5.444937801098876714e+23,5.460989129223909231e+23,5.476153667965744159e+23,5.490497674227688313e+23,5.504079978529641170e+23,5.516952592878991122e+23,5.529160923708366342e+23,5.540743578680861403e+23,5.551731801690020805e+23,5.562148650988580037e+23,5.572008135650251836e+23,5.581314614973718698e+23,5.590062806349103717e+23,5.598238708843915394e+23,5.605821622709127637e+23,5.612787247830005795e+23,5.619111620109645969e+23,5.624775448301058046e+23,5.629768293153993916e+23,5.634092013951086630e+23,5.637762996533175276e+23,5.640812850603061034e+23,5.642014488778453895e+23
1.060606060606060714e-03,1.183023526264707303e+23,2.193585969687139210e+23,2.853046691161838044e+23,3.291957310147056391e+23,3.604252095490424455e+23,3.839962153736416673e+23,4.026073762500238555e+23,4.178097941947591625e+23,4.305542070672822119e+23,4.414565066200238931e+23,4.509344250663133281e+23,4.592822827922732278e+23,4.667141449862935415e+23,4.733899402103994848e+23,4.794319213081317438e+23,4.849354086458169670e+23,4.899760173683075711e+23,4.946146495907583597e+23,4.989010237350800282e+23,5.028762214183978077e+23,5.065745592377240925e+23,5.100249870457831864e+23,5.132521479411011032e+23,5.162771925127034904e+23,5.191184117970637024e+23,5.217917344846723835e+23,5.243111207742819564e+23,5.266888757067710275e+23,5.289358973195718775e+23,5.310618685863333368e+23,5.330753964706110342e+23,5.349840968909344505e+23,5.367946221189448000e+23,5.385126287464662691e+23,5.401426911938631675e+23,5.416881777400590683e+23,5.431511209449058510e+23,5.445321275832426289e+23,5.458303792489216292e+23,5.470437690835187605e+23,5.481692012273025648e+23,5.492030503558364938e+23,5.501417454666882692e+23,5.509824129783474998e+23,5.517234963427139225e+23,5.523652669037055983e+23,5.529101539471705957e+23,5.533628476485510711e+23,5.535412085146083645e+23
1.080808080808080872e-03,6.942023043175851596e+22,1.494916506919219338e+23,2.133424441759925765e+23,2.609614372296683474e+23,2.970437029754195579e+23,3.252968278162119275e+23,3.481267665386441519e+23,3.670677682418583654e+23,3.831228101455078029e+23,3.969701851335885849e+23,4.090841721814974695e+23,4.198065567799160676e+23,4.293902733753919503e+23,4.380269001787254044e+23,4.458645217192566713e+23,4.530196666510401696e+23,4.595854926935941699e+23,4.656375289433231647e+23,4.712377884289778613e+23,4.764377685154574348e+23,4.812806767233812734e+23,4.858031069871579343e+23,4.900363193778878043e+23,4.940072292599384999e+23,4.977391804477370888e+23,5.012525554961024801e+23,5.045652611737663727e+23,5.076931160124254994e+23,5.106501579090798848e+23,5.134488820019117718e+23,5.161004120616307503e+23,5.186146029963746927e+23,5.210000693225444417e+23,5.232641367818966915e+23,5.254127234454910591e+23,5.274501725632282115e+23,5.293790790714951173e+23,5.312001691070080525e+23,5.329122997784993197e+23,5.345126388790887983e+23,5.359970593501401192e+23,5.373607448034124361e+23,5.385989587155083550e+23,5.397078916289875767e+23,5.406854772208569837e+23,5.415320648858116114e+23,5.422508539081995604e+23,5.428480282435163961e+23,5.430833146860277732e+23
1.101010101010101031e-03,4.074337451336962723e+22,1.002361135065274327e+23,1.565045597012864910e+23,2.033270250003375409e+23,2.412806963931655396e+23,2.722831356598439756e+23,2.980399553271881762e+23,3.198223933620417651e+23,3.385425109731563673e+23,3.548559530396920882e+23,3.692411883750475579e+23,3.820540287183498636e+23,3.935641809954679994e+23,4.039798201660456315e+23,4.134643292704664306e+23,4.221478989044845705e+23,4.301357095218043641e+23,4.375138049793437792e+23,4.443533791432493016e+23,4.507139529868097912e+23,4.566457632286759442e+23,4.621915819827475251e+23,4.673881198516080329e+23,4.722671199244133178e+23,4.768562194543659713e+23,4.811796346191161611e+23,4.852587084134591727e+23,4.891123500843806931e+23,4.927573849307818922e+23,4.962088246734562714e+23,4.994800606571212738e+23,5.025829756723657368e+23,5.055279671805524008e+23,5.083238779073577322e+23,5.109778413147366212e+23,5.134950692614626020e+23,5.158786334778451149e+23,5.181293139704746397e+23,5.202455971442465670e+23,5.222238969979714016e+23,5.240590420010077719e+23,5.257450227446499340e+23,5.272759415977650684e+23,5.286470584399785183e+23,5.298557976594211332e+23,5.309025776974681782e+23,5.317913459657050864e+23,5.325297438772478377e+23,5.328206729082478443e+23
1.121212121212121189e-03,2.391681746512320345e+22,6.636113633574638112e+22,1.129562922660346221e+23,1.559698392464789634e+23,1.933320175503512793e+23,2.252892695958124411e+23,2.526875733967792935e+23,2.763793190299802324e+23,2.970746217370875226e+23,3.153325123704640556e+23,3.315866702392388842e+23,3.461740499218848631e+23,3.593586061538724025e+23,3.713493492503162001e+23,3.823137026249215611e+23,3.923873220843864630e+23,4.016813379085106246e+23,4.102877375744122678e+23,4.182834054823005536e+23,4.257331865253558165e+23,4.326922339065866465e+23,4.392078269487790340e+23,4.453207924120250839e+23,4.510666261424237823e+23,4.564763858699076848e+23,4.615774072426968226e+23,4.663938812682424025e+23,4.709473203563936885e+23,4.752569306855703975e+23,4.793398996895300237e+23,4.832115989570520760e+23,4.868856958395955188e+23,4.903741640316744861e+23,4.936871875866270934e+23,4.968329668324411656e+23,4.998174583123576850e+23,5.026441097457163504e+23,5.053136764052797066e+23,5.078242166357408539e+23,5.101713529392807008e+23,5.123488485676509718e+23,5.143494933092700783e+23,5.161662284667270810e+23,5.177933853093341409e+23,5.192278772031329602e+23,5.204701810856630063e+23,5.215249695123154487e+23,5.224013041640678579e+23,5.227465811257426476e+23
1.141414141414141348e-03,1.404179255834139689e+22,4.348844751169211754e+22,8.039936028152111405e+22,1.179760568276677495e+23,1.529541832927299125e+23,1.843563865322042729e+23,2.122178576678982716e+23,2.369163187066834518e+23,2.588937902315717913e+23,2.785586412568644325e+23,2.962596129011176309e+23,3.122857722921048206e+23,3.268743815925771985e+23,3.402200678316251493e+23,3.524831068636348447e+23,3.637962890104042915e+23,3.742704107511139617e+23,3.839986044255684191e+23,3.930597371414182552e+23,4.015210815261096374e+23,4.094404222433612236e+23,4.168677262591716376e+23,4.238464752037261507e+23,4.304147349141710113e+23,4.366060193484005337e+23,4.424499922780726944e+23,4.479730392555738628e+23,4.531987331188121361e+23,4.581482076885714962e+23,4.628404456231675101e+23,4.672924777303331203e+23,4.715194838276307587e+23,4.755347824298219421e+23,4.793497019257902628e+23,4.829733424489147883e+23,4.864122651427680991e+23,4.896701788365264624e+23,4.927477232982306356e+23,4.956424610945520674e+23,4.983491769042024352e+23,5.008605410484816592e+23,5.031681292981630382e+23,5.052637178552730559e+23,5.071407084849482716e+23,5.087954997261817967e+23,5.102286150121627991e+23,5.114454280057180431e+23,5.124563826322171337e+23,5.128547011334087450e+23
1.161616161616161724e-03,8.245404208241228906e+21,2.826200022773292597e+22,5.654465811448767657e+22,8.811956918248583410e+22,1.195885677700472751e+23,1.492825972307458565e+23,1.766053215594999836e+23,2.014893391365380757e+23,2.240891052055775496e+23,2.446324908377221418e+23,2.633555704803868572e+23,2.804768724232588084e+23,2.961893004637717020e+23,3.106595408946210370e+23,3.240303472369021202e+23,3.364236782758914194e+23,3.479438412487070549e+23,3.586803204350810343e+23,3.687102032443892973e+23,3.781002125266097034e+23,3.869083894446227058e+23,3.951854800127549736e+23,4.029760760463856564e+23,4.103195549023243873e+23,4.172508551068323917e+23,4.238011179204223466e+23,4.299982182506035067e+23,4.358672017437472493e+23,4.414306377984551986e+23,4.467088902691450415e+23,4.517202991754471832e+23,4.564812596105522719e+23,4.610061816849558342e+23,4.653073220840872183e+23,4.693944969807480037e+23,4.732747173535269687e+23,4.769518253929400201e+23,4.804262434114988566e+23,4.836949609267435930e+23,4.867518704982014978e+23,4.895885153591921308e+23,4.921952390214513150e+23,4.945626447810563513e+23,4.966832012784700825e+23,4.985527865006697679e+23,5.001719570257795623e+23,5.015467625971186118e+23,5.026889905642795455e+23,5.031390325003670373e+23
1.181818181818181882e-03,4.842494940640530399e+21,1.823911795138190377e+22,3.935642035406046757e+22,6.507696175449140258e+22,9.248436679693808802e+22,1.196839230034808721e+23,1.456792286502616952e+23,1.700452841220363445e+23,1.926695113795242054e+23,2.135935915933602677e+23,2.329271228970020960e+23,2.508033603933012943e+23,2.673576801764143960e+23,2.827178260350592174e+23,2.970001030287384065e+23,3.103084843797251495e+23,3.227350759245523850e+23,3.343611498488072682e+23,3.452583559243744768e+23,3.554899227230910168e+23,3.651117659018031488e+23,3.741734735019951218e+23,3.827191641075078671e+23,3.907882255923078328e+23,3.984159468005542991e+23,4.056340552571796314e+23,4.124711724896427830e+23,4.189531952627434882e+23,4.251036059576302358e+23,4.309437084561886245e+23,4.364927779642383584e+23,4.417681064353099709e+23,4.467849235777117445e+23,4.515561816902498748e+23,4.560922144309802571e+23,4.604003147114464475e+23,4.644843187207073631e+23,4.683443192101992189e+23,4.719766466606871934e+23,4.753742399249293897e+23,4.785274750842958145e+23,4.814254405404593435e+23,4.840575554195846479e+23,4.864153491156240517e+23,4.884941715742183947e+23,4.902945979204072972e+23,4.918233280257720572e+23,4.930934530873609651e+23,4.935938887371074327e+23
