x,t=1.00e+00s,t=2.10e+00s,t=3.31e+00s,t=4.64e+00s,t=6.11e+00s,t=7.72e+00s,t=9.49e+00s,t=1.14e+01s,t=1.36e+01s,t=1.59e+01s,t=1.85e+01s,t=2.14e+01s,t=2.45e+01s,t=2.80e+01s,t=3.18e+01s,t=3.59e+01s,t=4.05e+01s,t=4.56e+01s,t=5.12e+01s,t=5.73e+01s,t=6.40e+01s,t=7.14e+01s,t=7.95e+01s,t=8.85e+01s,t=9.83e+01s,t=1.00e+02s
0.000000000000000000e+00,7.170592649289672960e+17,6.459283026508571648e+18,2.984185693096330035e+19,9.474642182907638579e+19,2.336085610430807736e+20,4.789943312246329180e+20,8.535794290684008858e+20,1.363351605270241083e+21,1.996361806322306646e+21,2.726296527648514900e+21,3.518509723960163697e+21,4.336169549738100654e+21,5.145068684209856446e+21,5.916618179624330854e+21,6.629193779401181889e+21,7.268282090677524759e+21,7.825895019130732413e+21,8.299618125024577192e+21,8.691527756558890959e+21,9.007103709223959134e+21,9.254196019777551466e+21,9.442073466650323059e+21,9.580574898324395524e+21,9.679388006968685756e+21,9.747481871764166803e+21,9.757869624740194288e+21
1.010101010101010092e-06,7.177925265508318720e+17,6.464620790730655744e+18,2.986161534625209958e+19,9.479627814759006208e+19,2.337055267376640492e+20,4.791500986100223181e+20,8.537955882147175465e+20,1.363619027670081470e+21,1.996663685390158529e+21,2.726612980227410756e+21,3.518821950877700456e+21,4.336462507901711286e+21,5.145332155176282227e+21,5.916846638590970561e+21,6.629385594064149152e+21,7.268438484093751001e+21,7.826019069301914337e+21,8.299713931790929363e+21,8.691599811658557424e+21,9.007156455271150125e+21,9.254233564812611158e+21,9.442099418912604029e+21,9.580592290829321634e+21,9.679399287504848814e+21,9.747488938689046774e+21,9.757876048825648415e+21
2.020202020202020183e-06,7.241211786076590080e+17,6.510669118775894016e+18,3.003200401781020262e+19,9.522608343566614528e+19,2.345412416852299612e+20,4.804923299121499996e+20,8.556579078924755272e+20,1.365922717872055648e+21,1.999263952653870694e+21,2.729338584270297891e+21,3.521511019060662895e+21,4.338985528250168508e+21,5.147601164987974812e+21,5.918814089143779328e+21,6.631037449389013467e+21,7.269785290241254359e+21,7.827087340902511804e+21,8.300538979474999345e+21,8.692220318692302389e+21,9.007610680637345759e+21,9.254556885639542866e+21,9.442322907949160202e+21,9.580742067112258830e+21,9.679496430303148245e+21,9.747549795798338241e+21,9.757931370096646685e+21
3.030303030303030063e-06,7.342387141809144320e+17,6.584177637959526400e+18,3.030366524902309888e+19,9.591064868858696499e+19,2.358712062055117292e+20,4.826269474517674230e+20,8.586180960000801505e+20,1.369582986926367965e+21,2.003394170586540802e+21,2.733666887142221021e+21,3.525780579957596488e+21,4.342990958713642156e+21,5.151203029588190953e+21,5.921937067035704951e+21,6.633659369942407971e+21,7.271922961866649764e+21,7.828782888929480147e+21,8.301848471220227408e+21,8.693205162964306362e+21,9.008331606404667277e+21,9.255070044554988093e+21,9.442677618319316484e+21,9.580979784212346307e+21,9.679650610230362898e+21,9.747646384976707977e+21,9.758019173083015807e+21
4.040404040404040367e-06,7.484630874981757440e+17,6.687299824807653376e+18,3.068407301333570765e+19,9.686780046562906931e+19,2.377284637472399032e+20,4.856049468150764667e+20,8.627446467970540503e+20,1.374682401919992594e+21,2.009145684156087534e+21,2.739692187823867691e+21,3.531722619984113304e+21,4.348564397053068706e+21,5.156214278717316268e+21,5.926281660614811058e+21,6.637306689232316662e+21,7.274896531105108722e+21,7.831141389982522933e+21,8.303669940253794238e+21,8.694575042432777322e+21,9.009334379886723203e+21,9.255783821867857478e+21,9.443171001061475353e+21,9.581310435385560531e+21,9.679865065765901173e+21,9.747780735012364616e+21,9.758141302020998431e+21
5.050505050505050670e-06,7.669666365508345600e+17,6.821061807882396672e+18,3.117632403208568013e+19,9.810390280989876224e+19,2.401231148696924324e+20,4.894396443340848497e+20,8.680528776798630052e+20,1.381236898412895404e+21,2.016533902487104520e+21,2.747428623348827947e+21,3.539349629899452711e+21,4.355716578882137096e+21,5.162643942210333049e+21,5.931855324546150171e+21,6.641985452883220365e+21,7.278710812148994408e+21,7.834166603837905830e+21,8.306006261855261032e+21,8.696332106514727698e+21,9.010620568867363095e+21,9.256699331241312256e+21,9.443803825093850694e+21,9.581734535624407384e+21,9.680140130820598792e+21,9.747953055057357832e+21,9.758297947031476371e+21
6.060606060606060126e-06,7.899440976450270720e+17,6.986578710899935232e+18,3.178362325241783091e+19,9.962514674104095539e+19,2.430642374730655334e+20,4.941418518809937838e+20,8.745537074372842619e+20,1.389256100017871782e+21,2.025566371387955479e+21,2.756881514923412161e+21,3.548664990252341395e+21,4.364449414546128896e+21,5.170492937256930640e+21,5.938658373679530902e+21,6.647695652153348588e+21,7.283365650650616562e+21,7.837858332807663714e+21,8.308857246898938970e+21,8.698476196277448081e+21,9.012190049786432324e+21,9.257816481784789991e+21,9.444576026464927875e+21,9.582252041666316730e+21,9.680475777199241167e+21,9.748163327405615743e+21,9.758489092011570758e+21
7.070707070707070430e-06,8.176306691442662400e+17,7.185179339458817024e+18,3.250972947294815846e+19,1.014386504163199713e+20,2.465619994975808389e+20,4.997232477638353879e+20,8.822583190778230866e+20,1.398749080226389033e+21,2.036249276654575944e+21,2.768054187360114442e+21,3.559669702869083226e+21,4.374762308038810403e+21,5.179759753448491319e+21,5.946688914053568397e+21,6.654435364882048090e+21,7.288859300471278404e+21,7.842215100407659626e+21,8.312221710775024091e+21,8.701006400506556318e+21,9.014042146843741127e+21,9.259134788887117824e+21,9.445487268829669097e+21,9.582862727611108295e+21,9.680871858221199917e+21,9.748411460114251252e+21,9.758714653372938453e+21
8.080808080808080733e-06,8.503082290737665280e+17,7.418442905137410048e+18,3.335907151606128640e+19,1.035527224007609713e+20,2.506281380788843643e+20,5.061971188172125635e+20,8.911791719622866371e+20,1.409725606896691839e+21,2.048588848337989927e+21,2.780949444209624482e+21,3.572363850377555608e+21,4.386653530122779361e+21,5.190441690425182913e+21,5.955943917883799634e+21,6.662201659144218345e+21,7.295189161074585764e+21,7.847234736572684304e+21,8.316097925521679057e+21,8.703921395821673710e+21,9.016175881003321000e+21,9.260653551472485597e+21,9.446537065979191493e+21,9.583566267038822302e+21,9.681328161981514908e+21,9.748697320370324111e+21,9.758974510373342806e+21
9.090909090909091037e-06,8.883097605087248640e+17,7.688220782521099264e+18,3.433680478022057574e+19,1.059769684306231788e+20,2.552761279280005775e+20,5.135785981144989041e+20,9.013303108597440840e+20,1.422196515645243785e+21,2.062591781656496701e+21,2.795570012658124456e+21,3.586747039996329853e+21,4.400120639050918396e+21,5.202535239465236955e+21,5.966419556566440083e+21,6.670990874121755165e+21,7.302352007247632007e+21,7.852914560244565148e+21,8.320483761026069692e+21,8.707219552956961522e+21,9.018590047830335816e+21,9.262371907420430533e+21,9.447724820154493698e+21,9.584362258688638976e+21,9.681844428006639010e+21,9.749020744925300392e+21,9.759268514601988260e+21
