t (s), T (K), flux (H/m2/s)
2.050000000000000000e+03,3.000000000000009095e+02,9.579380479017748047e+12
2.051000000000000000e+03,3.040000000000013074e+02,1.473477844004428906e+13
2.052000000000000000e+03,3.080000000000006821e+02,2.226566678435981250e+13
2.053000000000000000e+03,3.120000000000009095e+02,3.297225245932092578e+13
2.054000000000000000e+03,3.160000000000001137e+02,4.769374991306379688e+13
2.055000000000000000e+03,3.199999999999998863e+02,6.710379626888928125e+13
2.056000000000000000e+03,3.239999999999998295e+02,9.137911465932370312e+13
2.057000000000000000e+03,3.279999999999992042e+02,1.198054071420567031e+14
2.058000000000000000e+03,3.319999999999984652e+02,1.504952582750885000e+14
2.059000000000000000e+03,3.359999999999989200e+02,1.804532720870935312e+14
2.060000000000000000e+03,3.399999999999994884e+02,2.060701683158917812e+14
2.061000000000000000e+03,3.439999999999986358e+02,2.238875942657708750e+14
2.062000000000000000e+03,3.479999999999986926e+02,2.314672164172161250e+14
2.063000000000000000e+03,3.520000000000016485e+02,2.284733350685219688e+14
2.064000000000000000e+03,3.560000000000018190e+02,2.180513403719530000e+14
2.065000000000000000e+03,3.600000000000011937e+02,2.079357120116522188e+14
2.066000000000000000e+03,3.640000000000011369e+02,2.102265672899467500e+14
2.067000000000000000e+03,3.680000000000010800e+02,2.394584594458164688e+14
2.068000000000000000e+03,3.720000000000009663e+02,3.102497358101874375e+14
2.069000000000000000e+03,3.760000000000007390e+02,4.367865353721854375e+14
2.070000000000000000e+03,3.800000000000003411e+02,6.352296999436136250e+14
2.071000000000000000e+03,3.840000000000007390e+02,9.278727346154348750e+14
2.072000000000000000e+03,3.880000000000002842e+02,1.347085536798613250e+15
2.073000000000000000e+03,3.919999999999996021e+02,1.938277903934381750e+15
2.074000000000000000e+03,3.959999999999987494e+02,2.762366825214037000e+15
2.075000000000000000e+03,3.999999999999979536e+02,3.898213936257768500e+15
2.076000000000000000e+03,4.039999999999981810e+02,5.444718272943618000e+15
2.077000000000000000e+03,4.079999999999986358e+02,7.521507765965792000e+15
2.078000000000000000e+03,4.119999999999972147e+02,1.026665558913877400e+16
2.079000000000000000e+03,4.159999999999979536e+02,1.382955531379981800e+16
2.080000000000000000e+03,4.200000000000009663e+02,1.835729243342366000e+16
2.081000000000000000e+03,4.240000000000009663e+02,2.397403170195425600e+16
2.082000000000000000e+03,4.280000000000008527e+02,3.075552101100886800e+16
2.083000000000000000e+03,4.320000000000003979e+02,3.870415492118283200e+16
2.084000000000000000e+03,4.360000000000002274e+02,4.773345676024787200e+16
2.085000000000000000e+03,4.399999999999996589e+02,5.767160443577816000e+16
2.086000000000000000e+03,4.439999999999992042e+02,6.829113497893621600e+16
2.087000000000000000e+03,4.480000000000007958e+02,7.936539049004020800e+16
2.088000000000000000e+03,4.520000000000011369e+02,9.074223655465881600e+16
2.089000000000000000e+03,4.560000000000001137e+02,1.024137370165116160e+17
2.090000000000000000e+03,4.600000000000007390e+02,1.145522269144494400e+17
2.091000000000000000e+03,4.639999999999993747e+02,1.274885157916070720e+17
2.092000000000000000e+03,4.680000000000005116e+02,1.416334029990990720e+17
2.093000000000000000e+03,4.720000000000000568e+02,1.573785177618070400e+17
2.094000000000000000e+03,4.759999999999991473e+02,1.750280261580504640e+17
2.095000000000000000e+03,4.800000000000030695e+02,1.947900065452679040e+17
2.096000000000000000e+03,4.840000000000023306e+02,2.168136561102519680e+17
2.097000000000000000e+03,4.880000000000024443e+02,2.412345386981134720e+17
2.098000000000000000e+03,4.920000000000012506e+02,2.681988337291944320e+17
2.099000000000000000e+03,4.960000000000023874e+02,2.978592688252832000e+17
2.100000000000000000e+03,5.000000000000009095e+02,3.303485707008666880e+17
2.101000000000000000e+03,5.040000000000015348e+02,3.657383572065445760e+17
2.102000000000000000e+03,5.079999999999993179e+02,4.039904556083858560e+17
2.103000000000000000e+03,5.120000000000000000e+02,4.449090615214259840e+17
2.104000000000000000e+03,5.160000000000007958e+02,4.881052558441407360e+17
2.105000000000000000e+03,5.199999999999984084e+02,5.329856359734806400e+17
2.106000000000000000e+03,5.239999999999992042e+02,5.787704357324903680e+17
2.107000000000000000e+03,5.279999999999978400e+02,6.245352099670846720e+17
